시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 강남구 대치동,503,503,0,개포우성1,84.81,202208,30,"290,000",8,1983,선릉로 120,,중개거래,서울 강남구
서울특별시 강남구 대치동,316,316,0,은마,84.43,202208,10,"257,000",5,1979,삼성로 212,,중개거래,서울 강남구
서울특별시 강남구 대치동,992,992,0,현대1,84.27,202208,16,"205,000",13,1990,영동대로57길 28,,중개거래,서울 강남구
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,202208,16,"315,000",15,2006,선릉로 221,,중개거래,서울 강남구
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9231,202208,28,"280,000",17,2006,선릉로 221,,중개거래,서울 강남구
서울특별시 강남구 삼성동,2월 16일,16,2,삼성동힐스테이트 1단지,84.236,202208,30,"280,000",22,2008,학동로68길 29,,중개거래,서울 강남구
서울특별시 강남구 압구정동,443,443,0,현대3차(61~64동),82.5,202208,14,"420,000",7,1976,압구정로39길 58,,중개거래,서울 강남구
서울특별시 강남구 역삼동,716-3,716,3,개나리SK뷰,84.99,202208,1,"270,000",13,2012,역삼로 315-1,,중개거래,서울 강남구
서울특별시 강남구 일원동,743,743,0,디에이치자이개포,84.72,202208,25,"150,000",23,2021,영동대로 22,,직거래,-
서울특별시 강남구 일원동,734,734,0,상록수,74.54,202208,12,"189,000",5,1993,광평로10길 15,,중개거래,서울 강남구
서울특별시 강남구 일원동,614,614,0,현대4,84.98,202208,22,"200,000",11,1987,개포로110길 21,,중개거래,서울 강남구
서울특별시 강남구 자곡동,619,619,0,엘에이치강남힐스테이트,84.39,202208,11,"112,000",13,2015,자곡로3길 21,,직거래,-